,positive_reviews
387,"Staff were courteous The location of the hotel was Perfect."
388,N/A
389,Good location. Comfortable bed.
390,"Great location, everyone was very helpful"
391,"The location was perfect. It was a nice hotel, clean, spacious bedroom and quite nice bathroom with excellent shower!"
392,Comfortable bed. Nice fluffy pillows. Staff was friendly and helpful. Location was great!
393,Location
394,"Location、Location、LocationWhat else could u complaining such a HEART spot of the town?!"
395,"Breakfast was fine... nothing startling and pastries weren't overly fresh, but okay.We were able to leave bags prior to being able to check in so that was great and most appreciated.Check-out person was friendly and helpful - quite different than the check-in person."
396,"Union  Square, walking distance to tons of restaurants, bars, shop, etc. Cool old building."
397,"Hotel is perfectly located near Union Square. Rooms are very small, but clean. Super fast wi fi. Budget hotel - what u see is what u get."
398,Lica
399,"Staff were friendly and helpful. Great location, close to shops, bars and dining. Beresford has a real charm to it."
400,"Clean p, comfortable room and proximity to restaurant bar"
401,Super clean
402,The food in the White Horse Inn and the location
403,excellent service from the staffing
404,"The location, of course, was great. Two blocks from Union Square and the hop on hop off tours. But also the style of the hotel. It’s antique, without being old. It’s nice to imagine past decades there. Also, the restaurant adjacent to it has good food, the kindest waiter, and a historic decoration."
405,Location was good. They did let us check in early.
406,Great location. It was like stepping back in time once you walked inside. They did a fantastic job of modernizing while keeping the old world feel. I would definitely stay here again.
407,The food in the White Horse was exceptional
408,This was a very nice room. We had a fire escape landing right outside a big window. We had a pet with us. The restaurant right on the premises was very convenient and delicious. The staff was very understanding that I had to wait quite awhile after check out for my daughter to return to pick me up. There was a nice comfortable room for my pet and I to sit and wait for her.
409,Walking distance to central San Francisco. The staff very helpfull with information. For an older building it was very well appointed and comfortable. Plenty of food choices nearby.
410,The location
411,The pub/restaurant was great. Very good food & friendly bar tenders/patrons
412,"Food and atmosphere in Pub was greatRoom was small but comfortableLocation was great"
413,Location is excellent.
414,the location
415,Location
416,Our stay at the property made us feel like we were staying at grandma’s house. It was stunning to stay in such a beautiful hotel!
417,Jamie the assistant in the lobby is the best he made everyone feel comfortable
418,"Great location, two minutes walk away from Union Square, five minutes from Powell Street cable car turntable. Good 'English pub' next door. Cheap price for SF city centre."
419,Location. Location. Location. We could walk everywhere. It was perfect. Would recommend & will stay there again.
420,Great
421,"I was a little hesitant about booking after reading the reviews but was pleasantly surprised. The staff were excellent, clean rooms and beds were extremely comfortable. Great location . I would recommend and stay again. Whilst a little run down in places its excellent value ."
422,Friendly helpful staff. Central location.
423,The staff was friendly.
424,Very quaint Pub and room to stay in
425,Great location. Valet parking is great. Restaurant is fun. Staff is really good.
426,It was clean. Friendly staff. Location.
427,Location was good.
428,Nothing
429,"Location, facilities were excellent"
430,Location was perfect.  Just up from union square and the cable cars.  As a solo female traveller I was nervous based on these reviews however it was perfect.  A couple of streets to the left it is sketchy but the immediate area was absolutely fine. I had no issues at all.  Room was really comfortable and clean. Pub downstairs is fine for bar type food and a nice drink. Most of the staff were really nice. Old building so not sound proofed but no more noisy than most other hotels. No aircon but you know that before you book it.
431,It had charm and was quaint
432,Did not partake of the breakfast
433,"This is a beautiful historic property and caters to travelers on a budget. The staff is awesome; friendly, personable, on the ready to be as helpful as possible."
434,"Very central location close to everything downtown - union square, Chinatown, BART stops are within easy walking distance.  Price was lowest for the area without any crazy extra resort fees."
435,Didn't have one
436,"Hotel Beresford is our ""go to"" hotel in SF.  Cannot beat the size, location and cost.  The room we stayed in was absolutely comfortable and located in a quiet area, which I really appreciated.  The bed and pillow were super comfy. I slept like a baby!!  We missed the breakfast, but it is very nice to just go downstairs and grab some cereal, coffee and muffin. We opted to eat a a nearby diner. I definitely am looking forward to our next stay here.  Kudos to the check in staff who upgraded us to a king;  that was sooooo nice and we are grateful.  It made our birthday stay extra-special!"
437,Room was clean and bed was comfortable.  Elevator worked great. The hotel's location is great
438,"Quaint and old world charmNice personal accessories to accommodate my needs.Location near union square and then used cable cars to travelStaff was very helpful and spoke wellWas a nice change from traditional hotels bringing back old school charm and warmth"
439,The bed was ok.
440,"The comfortable room, the bed, the amenities in the bathroom, the location.
Centrally located, close to Union Square. Great value for money. The staff are not very friendly.  The rooms are very clean and bathroom have all amenities.  Comfy bed. Simple breakfast included. Air con is non existent and it it's hot the fan does not keep the room cool. They have a gym and you pay a surplass of $10."
441,Beds were ok. Room reasonably clean and cleaning service was fine.
442,"Very friendly staff
Nice charming hotel
Comfy bed
Even when the breakfast didn't meet my requirements the dining room is nice. 
Very good located: If you are fit you can go to all sight on foot (so did I)"
443,Beds were comfy.  Room clean.
444,"Great location, beautiful old hotel.  Friendly staff. Close to Union Square. I would stay here again."
445,Just the location.
446,Only the location
447,The location was great for the price.
448,Great breakfast for value.
449,I have nothing but good things to say about this hotel and staff. Everyone we have contact with has excellent customer service. Jeng (porter) is awesome. My husband Jeff and I highly recommend this hotel.
450,The bed.
451,It was easy walking distance to the city centre.
452,We’ve stayed before. Knew what to expect. Superb red table wine. Bought 2 bottles !!!  Staff is very attentive & helpful.
453,Only the location
454,No eggs. Good bed.
455,The bed was so comfortable.  We didn't hear other guests.  Great atmosphere and service.  Good prices on mini bar items.
456,Very un accommodating
457,"Location  location, location"
458,It was near Union Square
459,Location and price are amazing.
460,"See above.  However, even though they say there is a continential breakfast, were disappointed in their selection.  Just pasteries cereal and bananas or grapes.   Second day no fruit.  Yogurt would gave been nice."
461,Location.
462,Friendly Staff
463,"I dare you to find better value in such a central location in San Francisco. 2 blocks from Union Square, Masonic auditorium, and my favorite restaurant, Farallon, the Beresford is clean, comfortable and an excellent place to stay without spending a fortune. Public parking is very close (but expensive), the staff is friendly and the rooms are perfectly fine ... not fancy but meets all my needs. Will stay here again"
464,location and staff very helpful. lady at check out looked stress but manager came out and help the line. good service
465,It was nice
466,The staff was awesome. After a long day I was able to stop at the bar and take a beer up to my room.
467,Even though the room was small it had everything we needed. Staff were helpful and the pub downstairs had a great meal.. would stay again !!
468,"The location took only minutes to walk to Chinatown and to nearby restaurants.  The hotel has character and has been restored.  There are beautiful staircases for those who like to walk as well as an elevator.  The room and bathroom are a little aged, but were both clean."
469,"Nothing, will never book thst property again!"
470,"Front desk, and staff very helpful. Comfortable beds. Breakfast pastries fresh and tasty. Coffee very good. Front desk advertises they can arrange a $17 per person ride to the airport. Very convenient."
471,"A good place to stay on a budget, close by union square and serves the purpose as place to sleep and eat.The staff were ameniable to change , and tried there best  to assist in making a comfortable stay. 
The  continental breakfast was great and rooms were clean and beds we had were comfy."
472,The location is good for walking around the downtown area.
473,-
474,great location. you can easly walk around the city either downtown or Fisherman's Wharf
475,Breakfast -- full of sugar and some fruit.  Coffee good.  Location great.
476,"Breakfast was fine - not fancy, but certainly had variety, and was fresh.  Location was great, around corner from Union Square.  Deco building was charming.  The pub attached was quaint and the food was excellent.  Friendly people and staff.  Ample power points for o/s chargers, toiletries provided, room cleaned daily. Ironing facilities in room - not usually found."
477,"average, good croissants"
478,Front desk was great! Staff was wonderful
479,"- Great location
- Nice pub
- Quiet room (from outside noise) (near front of hotel)
- Charming decor 
- Nice people
- Great value for a convention"
480,"We liked the quaintness of this old building, the winding stairs, the wood."
481,"Front desk was not accommodating at all, the room was filthy, did not request two twin beds, they would not accommodate me to another room. I tried to call to follow up on my state with no call back"
482,"""Breakfast"" was limited to rolls, fruit and coffee/tea but they did have brewed decaf.  I needed some kind of protein - hard boiled egg, peanut butter, cheese, cold cuts.Location is great for Union Square but not so much for Civic Center venues.Lovely elevator!  Quiet!  Beautifully renovated Victorian and well maintained.  Clean!"
483,"Great location, close to cable car (1 block) and BART (5 blocks). Also close to grayline tours (1 1/2 block away). We were able to get by without a car.  Older hotel but quaint and comfortable."
484,Great location
485,"Great reasonably priced SF hotel, a few blocks from Chinatown, Union square, and even the what's is within easy walking distance."
486,"I have stayed here before and when I let them know that my previous room was a bit strange, they upgraded me to a beautiful King bed room. I like the friendly staff and the old San Francisco charm, as well as the location."
487,Great location and good value for the money. R
488,location of the hotel is good
489,I liked the location
490,"Location was greatStaff was very very nice and helpful The rooms looked like in the pictures and were clean"
491,"Location, cleanliness, it is a gem in SF if you consider horrible hospitality conditions!"
492,I have stayed here twice now and will always come back
493,"Very good location, for walking and shopping"
494,Best sleep
495,Excellent
496,"Simple, which is OK. It would have been nice to have toast as well as rolls. The first day there were excellent grapes."
497,Location excellent & price very good .
498,Beautiful room & bath through & through -
499,"A brilliant hotel, clean and very friendly and helpful staff. Perfectly located. Always try to book in here when visiting San Francisco 10/10"
500,"Such a great value. But we will return here because it was very clean. Staffed very well and saved us a lot compared to staying at another Hotel near the wharf.For the cost, we were not expecting Breakfast. Or much frills.But this place exceeded expectations! Thank You."
501,The hotel is beautiful and the pub downstairs was amazing and the snacks the hotel provides at the pub was a nice touch I will come back to stay here again
502,"Comfy bed, really good value. Location."
503,Nice an convenient location!
504,"Excelent location, clean, good value for the money. 
Per total we were very satisfied with our stay ar this hotel."
505,Staff On arriving  were stressed and protective of any form of criticism concerning car parking frees not disclosed on website. Batman became agressive and defensive  when asked about poor grade of service - wait times while he was outside having a smoke. Barman became defensive and highly aggravated when questioned about his stressed state of mind while working alone. Barman became very assertive  threatens and threatened me over criticism of his aggression as witnessed by other customers. He later offered free drinks concerning his outbursts. Staff appeared anxious and aggressive towards any questions concerns fees and charges rather than answering questions with clear explanations.
506,Breakfast and valet parking.  Loved that the white horse was attached and great food.  Bed was comfy too.
507,"Close  evry place, what I interest."
508,"the rooms are ok, what you would expect for a 2-star hotel"
509,"Staff wasn’t that friendly except for Mr Jamie, he is very nice and friendly, we love his service. The location is great."
510,Cute older hotel. I’ve been coming since the 1970’s. Not as cozy or friendly as I remember but understand many different owners along the way. All in all a nice stay.
511,Location. Comfort.
512,"the  splendid charm of an old fashioned art deco hotel, beautiful details and no signs of modern & renovations destroyed the nice vintsge charm yet. please keep it like that!!"
513,"Location, location, location"
514,Our room had a fire escape ! Very cool
515,"The hotel room has a great, well stocked mini fridge, a spacious bathroom with upgraded shower. The hotel is spotless, and there is a doorman and porters to take your bags."
516,The lobby area is small but beautifully decorated for Christmas!
517,"We stayed one night at Hotel Beresford to enjoy the City Christmas scene. Only two and a half I hadblocks from Union Square, restaurants and shopping, it's at a wonderful location. Clean and cozy. Great value for your money. Parking tip: free street parking in outlying areas in the City and Lyft or Uber to the hotel. Way cheaper than any parking downtown. Walk to Venticello Ristorante for dinner!"
518,The only compliments was the helpful bellman. He really makes our day
519,It was relatively close to the places we planned to visit.
520,downtown  !!
521,They could add more breakfast variety like boiled eggs or even waffles and a little sausage
522,"Breakfast was good for a continental breakfast, the room was comfortable and the Pub attached to it was indeed very good"
523,not like at all.
524,The quality of the guest room was excellent. Great Condition. Well decorated. I got a beautiful view. Didn't get too much street noise. I chose this hotel bc of the White Horse bar. It did not disappoint.
525,The maids were helpful-- one went to get Tylenol for me!
526,"Economically priced, and easy access to union square."
527,"Charming quaint clean safe efficient property with a great price and superb location. Staff excellent. Room was small but adequate for the two of us for this trip.  We attended an event at Morton’s one block away. Wandered about Union Square shops."
528,Sounds funny - but high quality T.P.  is always a happy surprise in a hotel.  Well done.  People very nice; bed's comfy.
529,"The staff service, there was a Oriental women that treated my like a king. Thank you very much."
530,Staff was great and helpful. Location to down town SF perfect!
531,The location was awsome
532,White Horse
533,"Great location, beautiful building & room, tasty breakfast & very friendly staff!"
534,Inexpensive and great location
535,The location and the pub
536,I stayed in queen room. It was very clean. Everday i found my room as clean as first day. WiFi is very good. Bed is comfortable. Very good location.
537,The  staff were extra friendly. The breakfast area was very European style.
538,Location
539,"The hotel is in a safe neighborhood and had a room fan, which was perfect and needed. Sparkling water in minibar was inexpensive. Bed was good so long as only 1 person sleeps in it."
540,The location
541,"Convenient location.  Front desk help is very good."
542,There was nothing to like about this place.
543,Very convenient location and very quiet at night for being in the middle of the city
544,"Location was good, beds comfortable & shower was good"
545,Ok location
546,Good location
547,It has a bar downstairs
548,Room was clean and comfortable.
549,Staff was great
550,Location
551,Locatiom
552,Nothing.
553,Bed good
554,Location is good. Breakfast is good. Room is good.
555,"Comfortable bed, clean, attentive staff"
556,Excellent location. Returning guest
557,Location was excellent
558,Location
559,It is central.
560,"Location, the age of the building and the interior design. It was absolutely beautiful and very quiet."
561,The beds were very comfortable
562,"The breakfast was OK, the cleaning service was  always timely and never intruding."
563,The location and the free breakfast.  The staff was very friendly.
564,The room was clean
565,Not much except location
566,Everything was perfect
567,Location ok
568,Everything
569,"It's in San Francisco, haha."
570,"Everything, the staff was extremely friendly & helpful. Took care if us the entire time. Went out if their way to hail a cab for us."
571,Staff accomodating
572,Great location in S.F. - close to the center. Parking in a nearby car park is expensive.
573,It was a nice and quiet hotel. The refreshments in the mini fridge were great and a great value
574,It was a cute little hotel and the front desk let us check in early. Beds were pretty comfy and clean.
575,"It was very comfortable and friendly. We found parking garages in walking distance. Uber rides were inexpensive. We've told friends, and our grown children that like to visit SF often about this hotel."
576,"good location, clean, good experience"
577,"Old hotel but had great sanfrancisco feel, great location to cable car, union square ect, close to starbucks and good food. Great staff. Elevator was broken but they gave a great discount for inconvenience. So we got to spend the $ doing more fun things !"
578,"I liked the location, nice and close to many of places I wanted to go.  Included Breakfast was ok, Staff were helpful - I used the computer room a few times to do some work, room was clean. I would definitely stay again."
579,"Complimentary breakfast was okay considering it is 2 star and this was complimentary. It was muffins, pastries, fruit and cereal and tea and coffee.
Bed was comfortable."
580,All the staff were helpful and very pleasant. The location was perfect for our events. The elevator is so fast. You don't spend hardly anytime waiting for it.  The room was clean.
581,Location is great.
582,Location!
583,"Very central to the cable cars & open top busses. Great little pub next door with reasonably cheap food. Breakfast included was a bonus but only cereals, croissants, & muffins. Hit the spot though. Bed was extremely comfortable. Plenty of hot water & nice strong showers. Good wifi."
584,The elevator was good.
585,"Staff was friendly, flexible, and helpful. Location was great. White Horse was fun and convenient."
586,Location and cleanliness
587,"Overall, better than expected considering the price compared to other nearby hotels."
588,"Great location, super convenient, with Walgreens/CVS etc. just next door for any snacking needs. The beds were large, easy walking distance from the MoMa."
589,Proximity to public transportation could not be beat.
590,"The pub (White Horse) at the hotel was excellent, great bartender - Jake...friendly locals and regulars. And the best buffalo wings I have put my lips to."
591,Very centrally located and the room was basic but clean. The bed was comfortable and Wifi was good. The desk staff were mostly very helpful.
592,the cleaning staff and the maintenance staff were super nice
593,Cozy little hotel with a continental breakfast in the morning. Staff was friendly. Convenience store on the block and on the corner a small intimate Italian restaurant. A five block walk to market st to catch the tram to Fisherman's Wharf.
594,Location
595,"Comfortable bed, shower's good and room was adequate"
596,Great Location - bar is a good place to meet people & tasty bar meals. Rooms were kept clean but are basic (aka 2 star hotel).
597,The location is great
598,Location
599,Great location and reasonable price.
600,The location
601,"The hotel provided a fairly clean, safe place to sleep."
602,Great location. Rooms and hotel are kept very clean. Great value.
603,great area!!! c lil ose by shopping union square!!
604,Staff and very helpful and friendly. Handy location to Financial district.
605,I was glad to be able to find the hotel as everyone was sold out
606,I liked everything but felt the room was smaller than expected and there was no air conditioning.
607,Simple but nice rooms
608,"Older hotel in a great location for the price.  Small continental breakfast which was adequate for us, but may not be for those who prefer a larger variety."
609,"The bed was fine. The steak I had in the restaurant was good: definitely better than some I have paid more for elsewhere. The beer was excellent too. The continental style breakfast was fine although cereal choice was ‘Cheerios’. The place has the air of a family run hotel. In fact I think Grandad sits in the hall all day keeping an eye on things!This is a relatively cheap hotel rubbing shoulders with some of the most expensive hotels in the city. Good value for the area but don’t expect big price service and facilities."
610,"Great location, relatively safe to walk around even at night. Continental breakfast is well organized and as expected. Good cleaning service."
611,Location
612,"Location was ideal, breakfast was basic but plenty of croissants/coffee/cereal available."
613,Nice and comfortable bed
614,Very nice staff. Clean. Excellent location.
615,Location
616,"Great location, friendly and courteous staff, happy to store our bags whilst on an overnight trip to Yosemite. Breakfast is basic but fresh and it’s free 😀. Hotel isn’t fancy. It it’s clean and really comfortable"
617,Proximity
618,Location
619,Clean
620,Breakfast was continental. Coffee was great though.
621,"The staff was very helpful and equitable. The location was nearby to a lot of interesting landmarks."
622,"The only positive thing was the location wasn't bad, but we would NEVER stay here again."
623,Historic hotel
624,Everything else
625,The helpful staff at check in
626,"Decent sized room
Fairly quiet room as it was top floor facing the alley (no view)
Bed was comfortable 
There is a fridge in the room but crammed full of hotel drinks"
627,Food was good
628,"- Breakfast at the White Horse was a great start to the day- Wonderful location, just a few steps from Union Square"
629,Convenient and clean. Nice staff. Good location.
630,"Free breakfast was nice, nothing special about it. But a banana and a muffin is not a bad way to start off my day. Beds were very comfortable and the room felt very clean, small but not stuffy."
631,The price. The location. Clean. Breakfast included.
632,"Great location, easy walk from BART station and Cable Car."
633,"Location.
Price."
634,Location & price
635,Location was good
636,"Cozy, clean and comfortable. Enjoyed the staff, they were very friendly and helpful. Location is perfect!"
637,Very cozy - a quaint old building but modernized just enough. The pub next door was great!
638,The hotel itself is fine for its price. We got out in the very first room literally right in the lobby so we got to hear everyone coming in and out
639,Very comfortable
640,Absolutely nothing
641,Location is perfect. Since it is San Francisco this works unless you want to pay even more.
642,Closeness to town
643,Location/price
644,Breakfast was a bit sweet for my liking but the beds were extremely comfy
645,It was clean and close to Union Square. The location was nice for tourists. The staff at The Beresford were helpful and seemed to genuinely enjoy their jobs.
646,The location and comfortable bed
647,Location ok.
648,"Location was good,  short walk to many sights,  transport and experiences. Great little historic pub next door with an adjoining door to the hotel."
649,"We stayed here twice in one month. Location is great, whether you're headed to Union Square or Chinatown.
This is an old scull hotel, but it's amazingly clean. All the staff is very nice. Bed was very comfortable. We were facing another building, so no view, but preferred that over street noise. There was the constant hum of a fan out the window, but that actually helped me sleep. 
Would definitely recommend this hotel."
650,"Clean, helpful staff, near Union Square"
