,negative_reviews
282,"No hairdryer provided. However, was able to get one from reception. The breakfast is very poor. Cereal and pastries only, There were grapes on occassion but no other fruit. We ate out most mornings."
283,Breakfast and lumpy pillows
284,Nothing to do with Beresford: my first time in America and I find the tipping system difficult and felt embarrassed because I got it wrong with the housekeepers.
285,price
286,"Too much furniture in the room, super squeaky bed lol"
287,dining room a bit dark and gloomy   bathroom shower  could do  with updating  and  as no  fan or a/con  would  be uncomfortable in hot weather
288,"Parking is an absulute nightmare!!! Save yourself the headache of having your car towed and the $600 bill and pay the hotel 50 bucks for valet. None of the rooms have AC, you can open the windows(no screens) and get a fan from the front desk."
289,I think the mattress was old-didn't seem comfortable. There was no air conditioning in the room. The shower did not work properly-it was very hard to regulate the heat of the water.
290,Stayed near the front part of the hotel facing the main street. Very noise and got woken up early every morning by the loading and unloading trucks at the other side of street.
291,"Small room, but I didn't care much"
292,nothing.
293,Poor tv variety. In room coffee would be nice. No microwave
294,Rooms are a bit tired and can be a little noisy from generators.  Continental breakfast ran out quickly!
295,The beds were small and the bathroom window of my room was broken. Not ideal when it's 15 degrees outside.
296,Guy at reception was grumpy when we asked for directions on our very 1st day
297,Just breakfast when I come and abit late fruit was finish should be refilled Otherwise it was good overall
298,Rude guestd
299,Bed sheets were not clean. They looked like they were not washed.
300,Surprised by the lack of AC but not an issue with 50 to 60 degree days in San Francisco - it is an old property but reasonable maintained and met our expectations
301,"Expensive valet parking. We did not use it, instead we found a parking garage closeby."
302,"Breakfast was as basic as it gets, croissants and muffins out of the box with two types of cereal. Paper/plastic dishes, knifes, and cups - a lot of waste for every breakfast. Room was really small, could hardly open our two suitcases. The shower had a lot of mold stains."
303,"No Air Conditioning, very small room and bath."
304,Furnishing etc were a bit tired and dated but perfectly ok.
305,"A coffeemaker in the room would have been nice, as the hotel did not have coffee ready until 7:00 a.m. and I am an early riser.  The continental breakfast was mostly pastries, so nothing much healthy except some fruit.  A microwave would have been nice also.  There was a mini-fridge, but it was stuffed with for-purchase items.  I'm vegan and always appreciate a place to store some of my own survival food.  The fitness room had just a treadmill (maybe a few other basic cardio machines but I don't recall) and no weights."
306,The breakfast is not good. A few pastries and cereal. Some toast would have been nice.
307,old and tired
308,I didn’t know that the hotel doesn’t have air conditioning.
309,Breakfast was ok/standard.
310,"No concierge, but not expected at the rice.
Not always welcome at reception.
No kettle."
311,"A little noisy at night, but you're in the heart of San Francisco."
312,"Staff was condescending, and lacked empathy for any of the guests I saw them interact with. Put me in a smoking room without asking, and put me in the worst room of the group for which I had made the reservations. Room was drafty and freezing cold, and they did not offer extra blankets when I told them about it."
313,Staff rood. No heater.
314,"Staff is inconsistent.Some are nice, some not very nice and condescending. Management most likely knows who they are.Not looking for fluff, just basic cordiality.Rooms are basic. Clean. Ok for a quick stay"
315,"It's not my favorite type of breakfast, but coffee and pastries were good."
316,It needs to be remodeled. The room looked worn and dirty.
317,if breakfast was available earlier
318,"Some bureaucratic rigidity.  My stay was made of several successive reservations of the same room (as is often the case for reservation made far in advance, in order to anticipate plan change - more than 1 year in advance for this professional trip).It was not possible to make one ""global check-in"" for the whole stay.  As a result, I had to come many times at the reception for re-checking, and re-checking out.This practice - thought totally legal - is of course annoying, and rarely seen in practice (I have never experienced the case yet during my numerous hotel stays, including previously at Beresford).Hence staying at another hotel is a better choice if you need this type of flexibility (there are plenty of hotels in the area at similar prices)."
319,TV was very poor. No enthusiasm  from staff.
320,No hairdryer in room had to get from reception
321,N/A
322,The weather
323,NA
324,"Checked in on Friday night 1/31. Had a hard time connecting to Wi Fi in lobby as I hadn’t checked in yet! Front desk clerk was very curt and insistent that she see the whole booking even though I told her I couldn’t connect!Said a booking confirmation number was not sufficient!Had to walk a block to get reception and come back to check in!Really??"
325,"No coffee in the room, but not big deal."
326,Everything ok
327,Nothing.
328,"It was a little run down. Needs some new bedding, carpet, paint. Pub was dark and dusty. Just needs a little face-lift. Family owned and they were lovely people. Very helpful and pleasant."
329,"The bed wasn't particularly comfortable, nor was it terrible. No good beer in the minibar."
330,Rooms need updating
331,"This hotel is really old and it shows in all aspects. The one small window when opened up even a crack, let's in the smell of raw sewage at night and then some sort cleaning fluid scent that was overwhelming. Not much to say that's positive other than it's close to Union Square."
332,The facilities of the hotel were old and needed some upkeep. The room was very stuffy. There was no windows to let in fresh air. The bed & pillows were super uncomfortable. The staff were not very helpful.
333,Had a window that could not be closed completely.  You can't control the heat in your room.  Onsite restaurant has limited menu.
334,"A fee things:
1) the bed was very uncomfortable
2) they did not have a hairdryer
3) the TV signal was very bad
4) poor ventilation
5) breakfast was just appalling in a poorly-lit room
6) the shuttle bus they booked me on was driven by a very rude man. It was the most horrific experience of my life to get back to the airport"
335,The staff attitude is very bad
336,"Our bathroom door was a little sticky, but we just let them know. No biggie."
337,No elevator. Very expensive. People at the reception were not very kind
338,"Needs renovation, no desk in my room."
339,Elevator did not work
340,The property is on the national registry of historic buildings. As you might imagine some of the facilities are quite fatigued.
341,Breakfast could have bread/bagels rather than just sweet options. Eggs would be amazing..
342,"Well, where to begin? The check-in experience was awful. Older woman at front desk tried to shush me on arrival, she was clearly struggling to login to the computer system and was quite rude to me. My plane had been delayed and I had to be somewhere in SF- I did not appreciate being ignored and treated as an inconvenience. She did not want to even acknowledge me. When she finally did she sent me to a room with a faulty smoke alarm which kept beeping every 3 minutes, directly above a very noisy air con unit. ( I don't smoke) She would not move me to another room. Worker /busboy ?? wanted initially to rip smoke alarm unit off ceiling until I mentioned danger of doing this, then he begrudgingly changed battery. Both scowled at me continuously during rest of stay. Really not a good hotel, staff primarily ignore customers. I saw similar disdainful treatment of other guests. Stay elsewhere if you can . Pls note- I have never before written a negative review like this but this place really took the cake in terms of rudeness and lack of care."
343,The breakfast was very limited would have like some protein. They ran out of coffee.
344,Rooms are small but doable
345,"Very old hotel, needs renovation. Lack of variety on breakfast"
346,The room was tiny. Was supposed to be a queen room. The bed was even smaller. The window faced a brick wall so was completely dark in the room. And the bathroom had a sliding door. Which was so noisy it was impossible not to use it at night without waking everyone up.
347,"No aircon, so really hard in hot days. Limited breakfast items"
348,Way overpriced
349,The noise. They placed me on the first floor in the first room in the hallway so that should be factored into the review as perhaps other rooms on other floors were better.. I'll never know. However it seems as if the room or maintenance room above was making noise all night. As if there were washing machines going. I heard the whistle of water through the pipes off and on from 12am to 630am to where I stopped trying to sleep...
350,The hotel room was very small and the breakfast was not good. It is a very old hotel with a very small bsthroom
351,Will manage
352,Breakfast and breakfast room
353,"Just one thing in the shower it was very hard to adjust the hot water and cold, either was to hot or to cold, the hotel need to take care of that problem, which i will let them know in the front desk."
354,"Our room was tiny. Do not always believe pictures. The room had this terrible stink to it. The water to shower was cold. My family and I basically took cold showers. We would get hot water for one minute max and then it’d be freezing cold. It was terrible. Let the front desk know but they didn’t seem to care. There were no microwaves in the room so if you go to dinner and take back leftovers to your room to heat up later, forget about it. This hotel is way overpriced for what you get. Never again"
355,Everything but most the office people
356,"Valet service is horrible. No AC in room just an open window with no screen. One of the wash cloths had hair all over it. Tv reception is horrible at best, all 8 channels were blurry"
357,No air con. Get down for breakfast early to get a seat
358,"Beds are uncomfortableNo air conditioning - it was 38 degrees CelsiusBreakfast was free but pretty disappointing choices. Hope you only like grape jam Rooms are very noisy"
359,"Service at front desk Rooms felt unclean Smelly was off putting"
360,The room was very hot no AC and a fan so loud I couldn't sleep with it on. Water damage and mildew in bathroom.
361,"Rooms were extremely Hot and Stuffy, as there was no a/c or fans, when we opened the window for air, the street noise kept us awake. The plumbing was terrible.Rooms very small. Beds comfortable but small."
362,Old and musty.  No air conditioning.
363,"Our room was right next to the elevator. I was a bit worried about it, but it did not cause a problem. No air conditioning, but the available fan was adequate. A BR sink counter would be helpful. I did not see a hair dryer. But I had my own"
364,"Bad smell in the room, no air conditioning, no hairdriyer,  no electorical outlet besides bath room. I wii never come back."
365,"Old facility with smell, not sure the sheet has been changed or not since it is really hard to tell."
366,"Check-in person was bordering on rude... very much felt like staying at a backpackers.  When I asked about where breakfast was, he advised me to ask again in the morning when I would need it!  rather than just pointing me to the visible door where you go through and saying in the bar next door.  Didn't like that there were no tea/coffee making facilities in the rooms... quite disappointing.No real tourist information at front desk, e.g. a map of the area."
367,"No AC, quite warm in room. Opened window on 5th floor but it had no screen. Bathroom had  quite a bit of hair on floor. Loud neighbors and could hear everything."
368,Small room
369,"Room was hot, fan was insufficient and for cooling"
370,Asked for a queen and got a double and a single
371,"Everything was great about our stay, we have no real complaints. Sometimes it was a little noisy but that’s just street noise"
372,"Due to busy road, valet  parking was a challenge"
373,Hot breakfast would have been super!
374,The constant noise outside when window was open -  like an air-conditioner going all the time when there was no A/C in the room.
375,"The only thing I didn’t love was the size of the room and bathrooms, they were a bit small, but if you’re reasonable it should be fine. Well, we (me and my daughter) loved it!!! We so recommend this hotel. And next time we travel to San Francisco, we will stay there!!!"
376,Staff was not friendly at all. The room seeemd very old and did not have AC
377,Choice at breakfast was extremely limited and often items were completely gone by 9am.
378,Wish we had known about the valet parking before we arrived.
379,Little bit of noise in the early part of the night from bar and the street. But each night got quiet after around midnight. Breakfast a bit basic.
380,"The parking, the facilities, the breakfast, the lack of air conditioner, the gym"
381,Lift to 7th floor slow andunreliable
382,Hotel is quite grotty and my room smelled of smoke
383,The valet service was too costly
384,"Weed smell and smokers everywhere inside the hotel including staff. If you complain they do nothing. Outdated, molt spots in the bathroom, no ac, shower pressure problems between hot and cold water."
385,Having to pay $43 to park my car
386,"Everything's very basic, just about adequate. Dirty bedroom window, with view of wall opposite."
387,"Very poor breakfast, smelly and dark breakfast room, unfriendly reception staff"
388,"“Continental breakfast” was literally muffins with coffee or juice. Luckily, Starbucks & mc Donald’s we’re right down the street. I was there for 5 days & not once did I have “breakfast” at the hotel."
389,"Serious comfort and safety issue with first room.Staff had poor attitude.Housekeeper enter our room with do not disturb sign on and us in the room."
390,Nothing
391,Nothing.
392,"The toilet didn’t flush properly, no air conditioning, freezer in refrigerator didn’t work, and I didn’t feel safe in the neighborhood."
393,"I'm tall- 6'6"", beds short. Too bad for me.
Continental breakfast ran out too early.
There was no info packet in the room, no menu for the restaurant, no costs of items in honor bar, and no cool info about the hotel. It is cool."
394,"Would like a little more selection for breakfast but what was provided was of good quality, nice coffee"
395,Smallest hotel room Ive ever seen.
396,"The rooms were very small. The hotel was dated - , no coffee in room, and no air conditioning"
397,One lady on reception was extremely passive aggressive. Very rude to people checking in. Very pass remarkable about other employees.
398,Very outdated ... bathroom very below satisfactory... water pressure low intermittent hot water .. musty
399,"Continental breakfast ran out before the end of breakfast hour, however, it was the same weekend as the Bay to Breaker Race and the hotel was packed."
400,"Hotel is very historically old, rooms reflect the age and the entire hotel feels like it’s from the 1960s.  No air conditioning but there are dirty and dust covered fans available in the room.  The floor slopes greatly and the bathroom is really quite scary.  The bed is super bouncy in a bad way.  Bathroom fixtures were literally falling off the wall and the shower water controls made absolutely no sense whatsoever.  This is a dirty, old, rundown hotel that survives on its relatively low price for the area."
401,beds could be newer
402,"I wouldn't say I did not like it, but for some who are seeking creature comforts, this might matter.  I assume that because it is an older facility, there is no air conditioning.  However, each room has a fan and San Fran is usually very cool.  We placed our fan in the window and it provided a cool breeze and ""white"" noise which made sleeping so comfortable."
403,"The rolls/muffins available for breakfast were hard.  When additional rolls/muffins were brought out, they were much better.  Maybe the staff is trying to save money by bringing out day old ones(?)  The eating area is dark and does not look  very clean.  Couches probably have never been cleaned.   Really looking more like a 2 star place than a 3 star, which is too bad because we have been coming here for a long time. As for communication with staff, very unfriendly over the phone.  In person they were fine."
404,"There was no AC and no screens on the windows, however with e temps near record hi’s it still was not a concern since there was a breeze and no humidity.Rooms are small so it encourages us to stay organized.Window in bath/showered had levelor broken and was covered w a towel, but it faced another windowless building so it was not concerning for privacy.Breakfast was a bit sugary for our taste.We do not eat danish so cold cereal had low fat milk options and it was welcomed.Many options for beverages was fine"
405,"The room was small
No air conditioning and it was bloody hot box room
Shower went hot and cold"
406,The air conditioning
407,"They couldn't find the booking.  Not sure if this was booking.com or the hotel that failed.   Lighting in room is terrible. The breakfast was awful, and the breakfast room is a filthy pub."
408,"Breakfast was poor. Always the same selection: dry croissants, muffins, cornflakes, milk and coffee. 
In addition please get rid of the paper and plastic dishes/cutlery - so much waste and I even think it's more expensive. But that's the only bad thing! 
P.s. ""Fitness room"" has only treadmills and steppers (3)"
409,No air conditioning in room and it was extremely hot. Bathroom door needs attention as we had trouble opening and shutting it.
410,"Room was small, bathroom not much bigger than a refrigerator"
411,TV wouldn't turn on
412,"The staff was rude with us, the receptionist didn't want to tell us nothing about parking lot, we couldn't leave the baggages in reception for five minutes while we parked the vehicle. We drove since LA and we were very tired and the girl in reception had very aggressive answers all the time. It was necessary to pay $100 extra for taxes ($50 by night)  that had not been announced previously anywhere, it was too expensive. The breakfast was basically coffee, orange juice, croissants and muffins."
413,"The staff, the room and the breakfast. All of the above, highly overrated"
414,I had hoped there would be eggs and?or meat of some kind for breakfast as I normally do not eat bread or sweets.
415,Everything was dark brown.
416,Great value for the money
417,Very old poorely mantained hotel. Very old facitilities. Noisy rooms.
418,"The room we had desperately needed a complete renovation (carpets curtains bedspreads etc) The room was very small, Everything was very old & musty, and the bathroom was very small and the shower was disgusting.  You helped yourself to a continental Breakfast using paper cups, plates and bowls in a dark dimly lit pub adjoining the hotel. There was no air conditioning or fans and poor lighting in the room."
419,Not a thing.
420,"The smell in the hallways, the breakfast was very limited and served in a room that is a pub in the evening. Only plastic cutlery, plates and cups available. The window of our room was badly isolated. Non-fx related discrepancies in the final amount to pay."
421,The front desk staff was very rude and the hotel is very old and stinks
422,TV didn't work good. Fuzzy
423,They should serve water at breakfast and multiple types of fruit instead of just one.
424,"Poor customer service, rude and super dry receptionist Very noisy and freezing room!Fair in cleanliness Overall not satisfied with the hotelWould not recommend to anyone"
425,The entire hotel was outdated nothing like the pictures online and smelled like marijuana throughout the entire hotel. No parking available only valet for a high price no other options
426,"Poor customer service, we asked for toothpaste crib the counter which was never delivered to the room during the whole stay. Had to approach the chamber maid when she was cleaning up the room next door."
427,I wish it could have been closer to the nearest BART and Muni stop
428,"Old worn bed. Shower stall had a louvered vent open to outside.  Made for old showers.Couldn’t control heat in the room."
429,"Love that it is right in the middle of everything we were there for.  Near shopping, the Cable Car, and restaurants.  Staff was very helpful, quiet at night in the halls.."
430,"On booking this hotel is sold as not smoking hotel. Actually you can smoke in the room.
I have ashmatic problem.This was a big problem for me.(sometimes people reviews are not enough because they have not idea what a minimum standard is...how can they rate this hotel 3/4/5 stars?)
Terrible breakfast served in the sketchy pub beside the hotel(you can access directly from the hotel)
Terrible room ,old and bad smell.
The cleanliness has very low standard
We decided anyways to skip the room cleaning service the first day as ""green"" choice. The day after we asked instead to make up the room. They just made the bed.
Period.the """"""bathroom"""""" was not even touched.
The window in the room makes the cold come in quickly.it is not properly sealed, you can hear air.coking in while you are in the bed.
The bathroom has a ""window/not window"" that is worse that the one in the room. So pretty much you have a shower with cold air coming on your side.
THERE IS NOT A VENTILATION SYSTEM IN THE ROOM.
The heater situation is another huge problem.
You have to call the front desk to switch the """"magic button"" from downstairs in order for you to turn on, in the room, the heater..very small heater, that in 20-45 minutes, will do it's job.
The lady at the from desk took so so so so long to explain to a couple in front of us about their tour for the day after. And we waited 30inutes to be checked in. She didn't care. She didn't apologize. She never gave us information about heater,things, breakfast. She asked a document, credit card. Done.
The entire team was pretty much rude on the phone every time we call at the desk to turn on the heater."
431,No complaints
432,Nonething
433,"There was a large compressor outside our bathroom window that kept running, sounded like an air conditioner running. But, I survived it!!"
434,"When we opened the door to the room, it would not open completely as it opened into the bed, stopping it short.  The rooms are quite small and we couldn’t locate a thermostat.  The room became quite stuffy as a result.  Parking at the hotel overnight costs us an additional $40."
435,"THE room, and staff"
436,"I saw photos of the hotel before booking and was concerned about the quality of the hotel. Yes, the furniture it old and shabby and the radiator in the bedroom has many layers of peeling paint. Just ignore this and appreciate a well valued hotel."
437,"Very small rooms,direct acces from bathroom to outside making it very cold and noisy,bathroom door didnt stay shut. One small elevator can  get congested on peak hours. The only option if you have a big big as the staircase is very small."
438,"The staff was incredibly rude at check in, the wall were very thin and other occupants loud, the furniture looks like it was chewed up by a dog, sheets were itchy, no way to change room temperature, the shower is either boiling hot or freezing, bathroom walls peeling, and the bathroom light could be seizure inducing.The lowest score this sight will let me post is 2.5, honestly the location is much closer to a 2."
439,"I found management were quiet rude and abrupt which was extremely off putting and we just felt like a burden asking for anything.
The floor level we stayed on had a strange odour which was unpleasant. The room wasn’t cleaned to standard. The only nice thing about the hotel was the bar staff and waiter. 
Overall extremely disappointed and won’t go back there again."
440,"It was too pricy for the kind of construction. The room was really old and  small as well as the bed. The heater  was noisy, the bathroom hadn't a  glass at the  window so it was cold and noisy. The ""breakfast"" was really poor, just bad coffee, milk aith cereal and gummy pastries. The staff was rude and not welcoming at all."
441,"Room was not clean.  Bath tub had used shampoo bottles, clothing from previous guest on chair, note with phone # and name on bedside table, used soap in sink.  Bed was made and not slept in but the rest of room had been occupied.  We won't stay there again although I have been a guest there  off and on since 1981.  Sorry to loose it."
442,It would be a good idea to have a few hairdryers that guests could borrow.
443,"Room dirty no light in bedroom tv fuzzy No hair dryerBed badWon’t be back"
444,the visa card system didn't work properly
445,"- Shower hot/cold and shower head is too low (approx. 5.5 ft)
- Privacy (from hallway)
- Room is small (as expected though for the price)
- Stains on carpet/walls"
446,Our room had noise from the huge air handling units from the next door hotel. Ask for a quiet room.
447,Did not care for the hamburger/fish & chips restaurant attached.
448,Would like to have had coffee/continental breakfast available before 7:00 a.m.
449,N/A
450,I am tall and I didn't fit into the bathtub. I really didn't mind and thought it was comical. Perhaps they can remodel room 704's tub at some point.
451,Room was hot but opened window at night
452,"our room was next to elevator and all day,  it  was very noisy of the sound of elevator, therefore it was very hard to sleep. also bath room door was  not fited well,so it was very hard to open and close the door.  also no facirily of tea and coffee in the room.."
453,"They should not promised breakfast, it was really poor and badly served. Fruit was missing some days"
454,"The pillow was too big and uncomfortable The breakfast was awful, I would recommend not to offer breakfast, that way one knows she has to look for options in advance"
455,Almost none..
456,No parking
457,Mini bar fridge compressor.
458,Excelent service
459,The shower door stuck (hard to get out) but the staff was very apologetic and fixed it right away.
460,TV not good
461,the whole place needs to be undated.....carpets look old and dirty....bathrooms are a mess...the bathroom floor was bad the window in the bathroom needs improvement....NO clock in the room.....
462,"Security issue.  I realized my room door wouldnot lock behind me.  Maintenance found a bottle cap had been lodged in the door jam preventing it to lock.  Had I not realized I didn’t hear the door “click” there’s a good chance I’d have lost belongings.  Someone deliberately messed with the lock that way.  Hotel just shrugged and said “oh well- at least the deadbolt worked.”  Smh"
463,"We arrived at 6pm and had to wait for half an hour while she sorted the two guys in front of us, there was no communication from her to say sorry for the wait, then when we did get up I asked for some type of remuneration a round at the bar would have been fine but nothing. Then we got to room and the door opens onto the first bed which we had a room with two queen beds in for me and my son the room should have only one bed in it ,there was know were for us to put our bags so we had to move some furniture you wouldn't have wanted our party to be two couples . The shower head moved in and out of the wall the floor in the shower needs painting it's old, you could even put the dead lock on because it was out of line. Room 614 ""I want be recommending this hotel to my friends"""
464,I registered for a queen bed got two doubles they could not help me
465,Elevator noise a bit loud
466,"Breakfast was not very good, no bread etc."
467,"Breakfast should be highly improved. Very poor. They better remove breakfast from advertising as continental. 
No free parking, but this is San Francisco. you can find valet parking very near to hotel for 35 dollars per night."
468,"Staff behaviours , rude and highly aggressive delayes in service delivery, highly agitated toward questions about their state mind of arousal concerning staff shortages. Staff had to be reprimanded that l was a paying customer of the hotel and had a voice to be heard concerning advocacy. There were witnesses to the outbursts. I would not stay at this hotel again."
469,Some of the wall paper is peeling and my bed side lamp didnt work.  Kinda noisey outside in the morning.
470,"Hotel poore. I not sleep night 31 December, becouse in 2 AM in 1 January was fire alarm. All gust from hotel stay in the street. It was very,very cold. I was disappointed. I return my hom very tired."
471,"the service at the front desk was incredibly rude, I don't recall such attitude in any city/country I visited. definitely ruined our stay at the hotel. no wonder this place had plenty of rooms available 3 days before New Year booked in a week before check-in....to be more precise - we did not expect much, just the bare minimum, but were treated rudely from the start till finish with one particular ""manager"" behaving as if we were bothering him, talking really tough at us, demanding smth all the time. I hope the guy get fired eventually, the management of the hotel should realize how damaging this guy is to their business.also the breakfast was really poor - just a coffee, tea and some pastry"
472,The bed. Me and my boyfriend both got itchy skin after using the bed.
473,"Need More better working OutletsFix window in bathroom too coldMore blankets The Elevator sucked didn’t even get to use it to take our Luggage down"
474,Mattresses not great. Very loud draining in tub. Musty smell
475,"I left a cashmere scarf. I asked them to send it to me and I would pay for shipment. Mgmt and maid staff suffered in who was responsible.  I still haven’t received my scarf which maid staff said they would send.  Mgmt did not back up responsibility. Very sad."
476,no complaints!
477,Breakfast
478,I had to leave.
479,Something is very wrong with the fat lady at the reception. She is talking too much n too little work done . I wonder if she knows what is her problem even the bellman cannot stands her
480,Too stuffy in the room because there was no A/C. The shower door kept sliding and the water was coming outside the bath. The facilities were quite old. The receptionist was a bit unfriendly when we approached him with a question.
481,One of the staff attitudes was really bad
482,"They have no free parkings. 
The location can be good and bad. 
It can be good because it’s close to the union square.
It can be bad because all the noise from the street is with you at night. Hard to sleep"
483,no parking but thats san francisco!
484,The breakfast
485,"Bathroom seemed to be made for people under 5 foot (1,6M), as everything, including the shower, was low. There was no ar conditioning nor heating system, only a fan and a portable heater that seemed as old as the hotel. Almost all the staff was under the weather all the time, even told me something similar to ""f*** yourself"" for not giving enough tip to the luggage carrier. If you are not an american you will have a bad experience with hotel's staff behavior (the opposite of the pub next door).The safety deposit box is in the clerks' desk so even if you have the only key he knows what you are keeping there"
486,No AC
487,"the staff is very unfriendly. there is no hot water and cold water at hotel. the room is very small and noisy, the bath tub is dirty. Parking is extra $45 per day and you will need to give the key to staff and every time if you need your car, you will have to give them 30 mins to get it back."
488,"I noticed the staff, front desk agent, being very busy upon check-out. The bellman proceeded to help me but he came across as very irrate."
489,"My mother and I both had surgery and complications ( then allllll the bad things happened in our room wirh maintenance tgere frim 6 to 11.) Knowing how crummy the room WAS...and we were bedridden they woukd not provide 1  breakfast delivery for my Mom WE have to pay for valet for a car we are too sick to drive.
They goof up daily on my reservations. Stating we have to ck out when we already contacted Bookings.com! Too many mess up and non functioning items in a musty old SF room that we stated ABSOLUTELY not nesr lifts--quietest room only. Where did they stick us? Right next to the lift with noisy-- street AND bar racket! 
 In Disgust!
For 2 more nights there
They should be thanking us vs wanting to toss us out!"
490,"Like very old buildings, one cannot control the heat. But if too warm, window opens easily.  If it is cold I am sure they would send a small space heater.  Did not need it."
491,"This is nitpicky, but breakfast wasn't great.  Know it's a 'continental breakfast, but maybe bagels or bread and a toaster wouldn't go amiss."
492,"They don't have A/C but it's fine, at least you have 2 fans in your room"
493,"The Roma were pretty small, But okay"
494,"No bath towels,  beds were old"
495,Having to carry bags up stairs.
496,"room too small, not well maintained or clean, very noisy area, windows would not close to restrict the exterior sounds"
497,Nothing
498,"The room was extraordinarily hot, small and noise from the street was loud, especially early morning when garbage was collected and when the pub closed."
499,"Some footstep noise from hall and other floors. Window is facing to back, a wall."
500,Nothing!
501,"The bed is old an squishy, and the whole hotel is very funky.  The comforter on top of the bed was really gross and old.  Reminding me of  all those shows on where they show the germs you find on the bedding in hotels.  The room was cold, and there were no extra blankets.  The TV was impossible to change to channels you could watch-it was mostly analog with static.  And the breakfast was cereal in a bin, some fruit, and some pastries.  It cost close to $377 which was shocking considering the quality."
502,They use a cleanser that stinks. I didn't know a room or bathroom could be so small. The sink and toilet are so near each other that you have to maneuver your body to sit on The toilet. The shower water pressure sucked. The soap was cheap. Breakfast was basic and not good: bad coffee and cheap pastries.
503,"The lady checking inn seemed too stressed out and the hotel looked kind of old and dirty ish... The hotel looked much, much more better in pictures..."
504,Two rooms that should have ironing boards didn't.
505,When we walked in our room there was a neighbouring generator whirring away outside our room. We complained to the front desk and were assured it would stop by 10.00pm. IT DIDN'T!!! It ran all night and we hardly slept. The Receptionist lied to us. Next morning we checked out totally disgusted. We had booked 3 nights but could only manage one. Other guests we spoke with had similar problems. We went elsewhere.
506,"Room smelt of urine, window didn’t close properly so it was noisy"
507,Smell in hotel is unacceptable.
508,"Very old hotel, terrible smell in hotel. Woke up at night because of smell. Room was clean as it could be but smell was just to much. There was nothing positive about this hotel"
509,Loud in the morning
510,Breakfast was just marginal. Not much offered except cold cereal and stale pastry. Milk for the cereal was sour.
511,Small room. Hot
512,Room
513,"Rotten timber in bathroom, bedroom hot, no air conditioner working, shower over bath, took forever to drain so standing in water, paper plates and plastic cutlery for gross breakfast"
514,"Staff, attitute towards foreigners"
515,Staff arrogant. A lot of noise all night. Room smell. Bed sheets had hair. No AC or heat. Upon return of my car we smell weed odor inside our vehicle.
516,"Bad breakfast Broken blind and lamps"
517,The room doesn't have any air conditioning. Though it is generally cold in San Francisco but there should be an AC at least to deal with suffocation. I stayed in a 7th floor room and it is not wise to keep the window open. Kids can fail down as the height is low.
518,No view.
519,Rooms were old and tired. Plumbing was noisy at night. Breakfast was continental and paper cups and croissants.
520,"Tiny room, no hair dryer"
521,1. The hotel has 1 elevator for guests  and for the cleaning stuf.  It is very slow and noisy. 2. The lobby is tiny and crowded with guests. 3. The parking is only a valet service and it is not clearly indicated that it has a charge of 47 dollars per day.4 the room is not ventalated properly. 5. The bathroom is very old and has a smell of mold 6. The breakfast is really bad served in a darkish pub. 7 the pub at night is terribly noisy-full of people that shout.8 the room is not noise isolated- we had a person next door that was banging at the wall .9 the lightning of the room is absolutely non existant not enough lite.
522,"The breakfast could have been a little better, but with tons of restaurants around, it wasn't that hard to find food."
523,"Needs updated and repairs
Staff could have been more welcoming and hospitable"
524,"Staff was rude at times and inflexible with payment options when splitting the payment. The hotel is in downtown, which normally would be a good thing, but for the incredibly costly parking everywhere. They offer valet parking at $40+/day for their own customers when they could easily provide a client discount. Count on spending at least $35/day just to find parking near the hotel."
525,It needed some plumbing work in the shower faucets.
526,The room did not have a/c. It only had a plug in fan. We really did not like that there was no ventilation for our room. The shower would only have really hot water or really cold water. For some reason would not combine the two to make luke warm water. The water jets in the bath tub looked like they had mildew in them
527,"Poorly staffed,  advertised breakfast turned out to be a skimpy continental breakfast also no A/C"
528,"Old and need maintenance and renovation 
Too expensive for what it offers."
529,Nothing
530,"It was freezing cold as there is no closable window in the bathroom. Most of the staff is totally unfriendly. Only a few hair dryers available, first come, first serve. On top of that you hear the AC of the neighbor building which is super loud. You have to yell at each other when in the bathroom!! No earplugs are available and our good ones couldn't even help. 
When we came to get breakfast at 8.30 the first time everything was already gone and they didn't fill up all of the things. 
I'm not a picky person at all and travel a lot but even 10$ rooms in Asia are nicer."
531,"Everything was perfect, nothing negative to comment on."
532,Small room with very small bathroom and closest. Furniture falling apart. Not comfortable. Had to request what is considered standard in other hotels: alarm clock and hair dryer. Not plug in convenient for sleep apnea machine.
533,no complaints.
534,Wish the room had ac
535,The room is very small. Bathroom is nothing to write home about. No AC in the room but there was a fan to put in the window. There was an ancient heater that we couldn’t figure out how to turn off so the breeze coming in from outside and the heater were dueling all night. This was the best option available to us in our price range and it was a good stay but I don’t know if I would return.
536,"good location, clean, good experience"
537,Breakfast was nothing great
538,It was so hot in the room.
539,"Only one member of staff was polite and helpful, the others were rude, abrupt and didn't have any customer service skills at all. When checking out the gentlemen did not even make eye contact with me and simply pushed the piece of paper to me to sign without saying a word.
If you turn left from the hotel you end up in the tenderloin, which is sketchy but this isn't mentioned by the staff but should be as its so close.
Noisy room close to a generator, recommend ear plugs."
540,The tv/refrigerator stand had significant water damage and was coming apart. The room was so hot even in November. There was a fan which helped but that was unexpected.
541,Badly peeling paint on the radiator. Carpeted base board falling off. No coffee makers in rooms. Coffee only available from 7a-10a.
